--SOURCE: CSMN666LAB SPRING 2005
--PROD_NO, PROD_UNIT_PRICE, PROD_DESC

1	138.65	"Torque Wrench  3/4""drive  preset Wr. 15A  150 ft-lbs."
2	44.84	"Dial-Type Torque Wrench  dial  dual wr.  1/2""  0-175 ft-lbs."
3	182.9	"Impact Socket  3/4"" Square Drive Double Square  1-3/8"
4	178.18	"Impact Socket  1"" Square Drive Standard  3-3/16"
5	138.06	CYLINDER ASSEMBLY - 1700 SERIES
6	144.55	GUIDE HANDLE - 1700 SERIES
7	148.09	CYL/CUTTERHEAD ASSEM. (1753-8913CN)
8	148.09	CYL/CUTTERHEAD ASSEMBLY (1752-1713A)
9	152.22	1752-1713CDX  CYL/CUTTERHEAD ASSEMBLY
10	152.22	21124LK-1713LK CYL/CUTTERHEAD ASSEMBLY
11	173.46	ASSEMBLY 1753 CYL-1713PQ NUT SPLITTER
12	330.99	1752-1713T  CYL/CUTTERHEAD ASSEMBLY
13	384.68	1752-1713TA  CYL/CUTTERHEAD ASSEMBLY
14	381.73	1752-1713TC  CYL/CUTTERHEAD ASSEMBLY
15	123.9	"Impact Socket  1"" Square Drive Deep  3-3/16"
16	90.27	1752-1713TG  CYL/CUTTERHEAD ASSEMBLY
17	90.27	1752-1713TN  CYL/CUTTERHEAD ASSEMBLY
18	110.33	PART PISTON STOP
19	113.28	179089 CUTTER  HAND HYDRAULIC  CABLE
20	114.46	CUTTER HAND HYD.ANGULAR ROD
21	98.53	CUTTER HAND HYDRAULIC HD C-CUT
22	98.53	SPLITTER HAND HYDRAULIC
23	110.33	HAND HYD STRAP CUT
24	115.05	HAND HYD CHAIN CUT
25	122.13	CUTTER-HAND HYDR GRATEING
26	98.53	"Impact Socket  1"" Square Drive Standard  3-1/4"
27	503.27	CUTTER HAND HYDRAULIC WIRE ROPE
28	503.27	BOLT ASSEMBLY - 1790TG
29	94.99	BOLT ASSEMBLY - 1790T/1780T
30	101.48	PART SPRING BALANCER-20LB
31	115.05	SPRING SCREW FOR 1700 CYLINDERS
32	94.99	BALANCER-SPRING-50LB
33	101.48	SPRING BAL-120LB
34	389.99	PART QUICK DETACH COUPLER
35	3046.17	SWIVEL SPRING - SC400S/W106920
36	587.05	209892 SPRING - 1700 SERIE CYLINDER
37	704.46	"Impact Socket  1"" Square Drive Deep  3-1/4"
38	1945.82	GASKET - WSR175  SC400S
39	1334.58	PACKING  LEATHER - BU0833
40	2617.83	PACKING  RUBBER
41	118.59	SCREEN - BU0833
42	118.59	PACKING MATERIAL - BU0833
43	127.44	SCREW - 1752 CYLINDER
44	118.59	MOV BLADE-W118SQ
45	93.81	STAT BLADE-W118SQ
46	93.81	WASHER-TEFLON-W138
47	25.22	WASHER TEFLON-W75
48	25.22	"Impact Socket  1"" Square Drive Standard  3-5/16"
49	27.75	COUPLER HYDRAULIC HOSE HALF
50	27.75	COUPLER HYDRAULIC WORKHEAD HALF
51	27.75	24728 RELIEVER-STRAIN CONTROL HANDLE
52	30.52	O'RING-W106920
53	30.52	WASHER-W106920
54	30.97	HANDLE REPL TOP/2690GP
55	30.97	HANDLE REPL BOTTOM W/JAW/2690GP
56	30.97	JAW REPL MOVING/2690GP
57	31.67	LINK - 2690GP
58	58.7	PART LINK PIVOT BOLT/2690
59	85.4	"Impact Socket  1"" Square Drive Deep  3-5/16"
60	6.67	2666G PART  LINK BOLT-NUT - 2690-9290
61	11.12	PART LOCK NUT/9290
62	8.89	"STEEL STRAP CUTTER - 2"" CAPACITY"
63	11.12	KIT LINK REPAIR KIT F/2790HKP
64	11.86	JAW REPL LOWER/2790HKP
65	12.6	JAW REPL UPPER/2790HKP
66	17.05	KIT BRACKET REPAIR KIT F/2790HKPR
67	25.95	PART  BOLT/2790HKP
68	45.22	BOLT 2790HKP
69	142.34	PNEUMATIC CUTTER-SPEC
70	97.86	"Impact Socket  1"" Square Drive Standard  3-3/8"
71	489.29	CUTTER ANGLE SHEAR 38
72	260.95	KIT HARDWARE KIT F/2790HKP
73	453.71	PIVOT PIN - WRC125
74	1601.29	CYLINDER WRC125
75	1490.09	YOKE-W11800
76	111.2	PIN  RELEASE LEVER
77	140.86	CONNECTING PIN - 1780LK
78	6.84	RETAINING RING - BU0833/7190 SERIES
79	9.13	SEAL PACKING - WRC125
80	9.13	SEAL-W106290
81	18.27	"Impact Socket  1"" Square Drive Deep  3-3/8"
82	15.98	SEAL-W13800
83	18.27	DISCHARGE SPRING - BU0833
84	15.98	GASKET  FILLER HOLE
85	38.81	SWIVEL - WTC400C
86	34.25	RELEASE VALVE SPRING - BU0833
87	102.75	TANK END CAP - BU0833
88	93.61	330389 O'RING - 9190/9290 SERIE
89	422.38	O RING - BU0833
90	315.07	PISTON - 1700 SERIES CYLINDERS
91	1217.69	COLLAR - 1700 SERIES CYLINDERS
92	1217.69	"Impact Socket  1"" Square Drive Standard  3-7/16"
93	1301.4	330439 COLLAR ASSEMBLY - 1700 SERIE CYL.
94	7.25	RETAINING RING - 1700 SERIES CYLINDERS
95	7.25	330447 WIPER RING CYLINDER - 1700 SERIE
96	18.7	330451 RAM PLUG CYLINDER - 1700 SERIE
97	30.86	330452 O'RING FOR 1700 CYLINDER SERIES
98	18.7	PISTON PIN - 1700 SERIES CYLINDERS
99	30.86	330469 CYLINDER ASSEMBLY - 1700 SERIE
100	18.7	COLLAR  330481  1700 SERIES CYL.
101	30.86	SPREADER PACKING - 1700 SERIES CYLINDERS
102	184.45	PISTON SEAL - WTC400C
103	30.86	"Impact Socket  1"" Square Drive Deep  3-7/16"
104	18.7	330736 CYLINDER PACKING - 1700 SERIE
105	30.86	COLLAR PACKING - 1700 SERIES CYLINDERS
106	18.7	PART STATIONARY BLADE/WSR175
107	30.86	SEAL-WSR175
108	19.33	MOVING BLADE WRC125
109	31.91	SCREW RET. - WSR175
110	21.42	SWITCH H D AIR
111	35.35	PART MOVING BLADE/WRC200
112	22	MOV BLADE-WSR250
113	36.3	STAT BLADE WSR250
114	29.6	"Impact Socket  3/4"" Square Drive Double Square Deep  1-3/8"
115	48.85	"Impact Socket  1"" Square Drive Standard  3-1/2"
116	37.2	SOFT CABLE CUTTER  RATCHETING 600MCM CAP
117	61.38	KIT MOVABLE BLADE 3590FS
118	21.74	KIT REPAIR GEAR WHEEL F/3590FS
119	35.85	KIT REPAIR OUTER PLATE F/3590FS
120	27.51	KIT REPAIR RATCHET HANDLE F/3590FS
121	45.39	KIT REPAIR FIXED HANDLE F/3590FS
122	58.34	KIT FIXED BLADE 3590FS
123	66.53	RETURN SPRING - WSR175
124	31.64	PART MOVING BLADE/WSR175
125	52.19	RETURN SPRING - WSR250
126	37.15	"Impact Socket  1"" Square Drive Deep  3-1/2"
127	61.27	HYD PIPE CTR
128	37.75	MOV BLADE-HRC300
129	63.53	PART REPAIR KIT/PF1000H
130	39.31	BUSHING YOKE - W75000
131	64.82	PART STEEL YOKE BUSHING/W11800
132	39.89	PART HOLD DOWN SCREW/MOVING BLD
133	65.81	PART MOVING BLADE/27842
134	42.64	PART STATIONARY BLADE/27842
135	70.34	MOV BLADE- 37071
136	45.4	STAT BLADE- 37071
137	74.88	"Impact Socket  1"" Square Drive Standard  3-9/16"
138	47.99	MALE PLUG - CONTROL WIRE
139	79.2	FEMALE PLUG - CONTROL WIRE
140	55.01	RECEPTACLE - HYDRAULIC PUMPS
141	90.76	BOOT PLUG - HYDRAULIC PUMPS
142	57.34	RELAY MOTOR - HYDRAULIC PUMPS
143	94.62	ASSEMBLY  ELECTRIC CORD - CONTROL HDLES
144	63.47	MICROSWITCH*HE2200
145	118.9	RETAINER RING - WTC400C/SC400
146	75.65	42898 CLAMP SCREW-CONTROLL
147	124.79	"HVY. DUTY OIL FILTER - """"T""-""""M"" PUMPS"
148	78.4	"Impact Socket  1"" Square Drive Deep  3-9/16"
149	129.34	VALVE RELIEF-HE2200
150	6.67	HYDRAULIC PINCH OFF TOOL
151	8.16	DOUBLE SOLENOID VALVE - HYDRAULIC PUMPS
152	9.63	SINGLE SOLENOID VALVE - HYDRAULIC PUMPS
153	20.75	CUTTER  HYDRAULIC  TIRE BEAD
154	22.24	CUTTER HYDR TIRE BEAD DUAL CNTRL HDL
155	23.73	WEDGE  PINCH OFF - 45052
156	26.69	PISTON  PINCH OFF - 45052
157	35.15	LOWER WEAR SLEEVE - 45052
158	34.84	ANVIL  PINCH OFF - 45052
159	37.06	"Impact Socket  1"" Square Drive Standard  3-5/8"
160	42.26	PART MOVING BLADE/45601
161	42.26	PART STATIONARY BLADE/45601
162	50.41	SEAL  PINCH OFF - 45052
163	59.3	JAW BOLT  PINCH OFF - 45052
164	68.09	RETURN SPRING  PINCH OFF - 45052
165	120.34	ROLLER  PINCH OFF - 45052
166	237.44	PART PISTON SEAL/45601
167	224.33	ANVIL RETAINER  PINCH OFF - 45052
168	18.14	KIT MOVABLE BLADE 5090FS
169	18.14	KIT GEAR WHEEL F/5090FS
170	18.14	"Impact Socket  1"" Square Drive Deep  3-5/8"
171	18.14	KIT OUTER PLATE F/5090FS
172	21.68	KIT RATCHET HANDLE F/5090FS
173	21.68	KIT FIXED HANDLE F/5090FS
174	26.75	KIT FIXED BLADE 5090FS
175	26.75	LINK  RIGHT HAND - 6990 SERIES
176	33.89	LINK  LEFT HAND - 6990 SERIES
177	33.89	HANDLE REPL RIGHT FBGL/6990
178	33.89	PART MOVING HANDLE F/6990FSL FHL
179	44.5	HANDLE REPL RIHGT STEEL/6990TS
180	44.5	HANDLE REPL LEFT FBGL/6990FS
181	44.5	"Impact Socket  1"" Square Drive Standard  3-11/16"
182	47.83	PART FIXED HANDLE F/6990FSL FHL
183	47.83	HANDLE REPL LEFT STEEL/6990TS
184	47.83	LINK DRIVE - 6990 SERIES
185	55.01	STATIONARY BLADE - 6990FS/FSL/TS
186	55.01	RATCHETING BLADE - 6990FS/FSL/TS
187	55.05	KIT REPAIR JAW SET F/6990FHL
188	61.85	PR. OF BLDES  6990FS/FSL/TS
189	61.85	6919FS PIN  PIVOT FOR 6990 SERIES
190	61.85	KIT REPAIR SIDE PLATE F/6990FHL
191	66.06	SIDE PLATE - 6990FS/TS/FSL
192	66.06	"Impact Socket  1"" Square Drive Deep  3-11/16"
193	66.06	KIT REPAIR SIDE PLATE F/6990FSL
194	85.95	KIT REPAIR SIDE PLATE F/6990FS
195	85.95	KIT REPAIR SIDE PLATE F/6990TS
196	85.95	SCREW  HANDLE - 6990 SERIES
197	85.95	PAWL - 6990 SERIES
198	85.95	KIT REPAIR LINK-PAWL F/6990 TOOLS
199	95.77	6937FS DETENT FOR 6990 SERIES
200	95.77	DETENT ASSEMBLY - 6990 SERIES
201	95.77	6941FS PIN  LINK - 6990 SERIES
202	102.02	PIN  DETENT - 6990 SERIES
203	102.02	"Impact Socket  1"" Square Drive Standard  3-3/4"
204	152.89	WASHER  HANDLE - 6990 SERIES
205	152.89	SPACER  PIVOT PIN - 6990 SERIES
206	152.89	KIT REPAIR HARDWARE F/6990 TOOLS
207	152.89	SPACER  PIVOT BOLT - 6990 SERIES
208	183.72	SPRING  PAWL - 6990 SERIES
209	183.72	KIT REPAIR KEEPER ASSEMBLY F/6990FHL
210	183.72	SPRING  RETURN - 6990 SERIES
211	209.11	KIT REPAIR SPRING ASSEMBLY F/6990 TOOLS
212	209.11	PIN  STOP - 6990 SERIES
213	209.11	6966FS PIN  PIVOT FOR 6990 SERIES
214	209.11	"Impact Socket  1"" Square Drive Deep  3-3/4"
215	209.11	6971FS GUARD  SPRING FOR 6990 SERIES
216	265.52	SCREW  GUARD - 6990 SERIES
217	265.52	PIN  SPRING - 6990 SERIES
218	275.15	6977FS SPRING EXTENSION FOR 6990 SERIES
219	275.15	KNOB RELEASE - 6990 SERIES
220	275.15	RETAINER PIN - 6990 SERIES
221	372.78	PIN DETENT - 6990 SERIES
222	372.78	COMPACT RATCHETING ACSR CUTTER
223	372.78	RATCHET SOFT CABLE CUTTER  FG HDLE - 14
