--SOURCE: CSMN666LABS SPRING 2005
--ZIPCODE,CITY,STATE
10000-0049MADEUP         QQ
10000-0051CAMBRIDGE      MA
10000-0100PORTLAND       ME
10000-0407MT. LAUREL     NJ
10000-0439CLEVELAND      OH
10000-1475MAYWOOD        IL
10000-2241WEST DESMOINES IA
10000-2639BRONX          NY
10000-2726PALM SPRINGS   CA
10000-2777ST LOUIS       MO
10000-2814WASHINGTON     DC
10000-2832ALEXANDRIA     VA
10000-3681INDIANAPOLIS   IN
10000-3685WACO           IN
10000-3867WINSTON-SALEM  NC
10000-6008NORFOLK        VA
10000-6360LEXINGTON      KY
10000-6822WASHINGTON     DC
10000-7019SCOTTSDALE     AZ
10000-7217MERRIAM        KS
10000-7483ST LOUIS       MO
10000-7913NASHVILLE      TN
10000-8143MALDEN         MA
10000-8338LOS ANGELES    CA
10000-8520EDINA          MN
10000-8754STLOUIS        MO
10000-9077OMAHA          NE
10000-9266SIOUX FALLS    SD
10000-9449RICHMOND       VA
10000-9569DANVILLE       IL
10000-9616CORPUS CHRISTI TX
10000-9937CAGUAS         PR
10010-0010DAYTON         OH
10010-0079BALTIMORE      MD
10010-0260NEW YORK       NY
10010-0484ATLANTA        GA
10010-0744COLUMBUS       OH
10010-2880OWINGS MILLS   MD
10010-3196LOUISVILLE     KY
10010-3345HOUSTON        TX
10010-4861DETROIT        MI
10010-5013IOWA CITY      IA
10010-5195BAYSIDE        NY
10010-5210UNIONVILLE     PA
10010-5288GREENVILLE     NC
10010-5388SAGINAW        MI
10010-5417PINE BLUFF     AR
10010-5742BOSTON         MA
10010-5948AKRON          OH
10010-6067ASTORIA        NY
10010-6144LITTLE FALLS   NJ
10010-6387CLEVELAND      OH
10010-6628HOUSTON        TX
10010-6888CARRBORO       NC
10010-7455CLEVELAND      OH
10010-7758LOMA LINDA     CA
10010-7769MANHATTAN BEACHCA
10010-8010WASHINGTON     DC
10010-8507LITTLE ROCK    AR
10010-8947SAN FRANCISCO  CA
10010-8965CHARLOTTESVILLEVA
10010-9247ST LOUIS       MO
10010-9321SALT LAKE CITY UT
10010-9370ALBUQUERQUE    NM
10010-9800FORT GORDON    GA
10010-9861ATLANTA        GA
10020-0032HAZARD         KY
10020-0238CINCINNATI     OH
10020-0357SOUTHINGTON    CT
10020-0594BRONX          NY
10020-0681EAST MEADOW    NY
10020-0740NORWALK        CT
10020-0813PINE BLUFF     CA
10020-0887LITTLE ROCK    AR
10020-0945LOS ANGELES    CA
10020-0996BROWN DEER     WI
10020-1058PHILADELPHIA   PA
10020-1319HOUSTON        TX
10020-1367PITTSBURGH     PA
10020-1474WILMINGTON     OH
10020-1625PINE BLUFF     AR
10020-1693FORT SAM HOUSTOTX
10020-1766WORCESTER      MA
10020-1855WATERTOWN      MA
10020-2048SOMERSET       NJ
10020-2139BRONX          NY
10020-2142DIX HILLS      NJ
10020-2165MILILANI       HI
10020-2192DEARBORN       MI
10020-2244MIAMI BEACH    FL
10020-2414LEXINGTON      KY
10020-2420STANFORD       CA
10020-2423SACRAMENTO     CA
10020-2585UNIVERSITY HEIGOH
10020-2590HOUSTON        TX
10020-2620JANESVILLE     WI
10020-2624LEBANON        NH
10020-2697PROVIDENCE     RI
10020-2729NEW YORK       NY
10020-2759BROOKLYN       NY
10020-2793YORK           PA
10020-2820BUFFALO        NY
10020-2899ROCHESTER      NY
10020-3213EDISON         NJ
10020-3222DALLAS         TX
10020-3265OMAHA          NE
10020-3336NEW HAVEN      CT
10020-3546BIRMINGHAM     AL
10020-3574MINNEAPOLIS    MN
10020-3692DANVILLE       PA
10020-3694PHILADELPHIA   PA
10020-3706RALEIGH        NC
10020-3743ST LOUIS       MO
10020-3754WINSTON-SALEM  NC
10020-3779GURNEE         IL
10020-3832HUNTSVILLE     AL
10020-4054NEW BRITAIN    CT
10020-4089PHILADELPHIA   PA
10020-4097WINSTON-SALEM  NC
10020-4135EDMOND         OK
10020-4235PITTSBURGH     PA
10020-4298BALTIMORE      MD
10020-4369NEW PALTZ      NY
10020-4431FAIRFAX        VA
10020-4453SILVER SPRING  MD
10020-4481DETROIT        MI
10020-4543CINCINNATI     OH
10020-4629HOUSTON        TX
10020-4657MEMPHIS        TN
10020-4676MOBILE         AL
10020-4731ALBUQUERQUE    NM
10020-4760HOUSTON        TX
10020-4777HONOLULU       HI
10020-4890WHEELING       WV
10020-4951LAKEWOOD       OH
10020-5057YONKERS        NY
10020-5066HANOVER        NH
10020-5090SCOTTSDALE     NY
10020-5108PHILADELPHIA   PA
10020-5191CLEVELAND      OH
10020-5198CHARLESTON     SC
10020-5237AKRON          OH
10020-5249WILLIAMSPORT   PA
10020-5397BARRIE         ON
10020-5439CHESTNUT HILL  MA
10020-5478HAWTHORNE      CA
10020-5481BALTIMORE      MD
10020-5510CLEVELAND      OH
10020-5524SACRAMENTO     CA
10020-5540SPRINGFIELD    MA
10020-5546TORRANCE       CA
10020-5648HAVERTOWN      PA
10020-5745STONY BROOK    NY
10020-5784KEW GARDENS    NY
10020-5797CHARLOTTESVILLEVA
10020-5799SADDLE BROOK   NJ
10020-5804LOUISVILLE     KY
10020-5914RICHMOND       VA
10020-5916SUNNY ISLES BEAFL
10020-6027BOSTON         MA
10020-6126IOWA CITY      IA
10020-6191SAN DIEGO      CA
10020-6209ROUND ROCK     TX
10020-6243ALTUS          OK
10020-6255SAN ANTONIO    TX
10020-6269HOUSTON        TX
10020-6271GUAYNABO       PR
10020-6334DURHAM         NC
10020-6487SACRAMENTO     CA
10020-6498LOS ANGELES    CA
10020-6509WATERTOWN      MA
10020-6630NEW YORK CITY  NY
10020-6651DENVER         CO
10020-6765MANHASSET      NY
10020-6767CHARLOTTESVILLEVA
10020-6775LEXINGTON      VA
10020-6797GREENVILLE     NC
10020-6804FLORENCE       SC
10020-6855DETROIT        MI
10020-6864BIRMINGHAM     AL
10020-6876CHICAGO        IL
10020-6879HOUSTON        TX
10020-6896CINCINNATI     OH
10020-6901CHICAGO        IL
10020-6950ROCHESTER      MN
10020-7013OKLAHOMA CITY  OK
10020-7068GALVESTON      TX
10020-7070LUBBOCK        TX
10020-7221BURLINGTON     MA
10020-7226WEST HILLS     CA
10020-7325GUAYNABO       PR
10020-7327SAN JUAN       PR
10020-7391STANFORD       CA
10020-7421WORCESTER      MA
10020-7470IRVINE         CA
10020-7473NEW YORK       NY
10020-7488NEW YORK       NY
10020-7515STONY BROOK    NY
10020-7517CINCINNATI     OH
10020-7545BRONX          NY
10020-7564PHILADELPHIA   PA
10020-7580PITTSBURGH     PA
10020-7682CAMBRIDGE      MA
10020-7734COLUMBUS       OH
10020-7739NEW YORK       NY
10020-7770MACCLESFIELD   NC
10020-7782CHICAGO        IL
10020-7807HOPKINS        SC
10020-7831CHICAGO        IL
10020-7917LOUISVILLE     KY
10020-8000ANN ARBOR      MI
10020-8029HASLETT        MI
10020-8072MIDLAND        MI
10020-8113CHULA VISTA    CA
10020-8138SLC            UT
10020-8139NEW YORK       NY
10020-8264DENVER         CO
10020-8292ROCHESTER      MN
10020-8300LONDON         ON
10020-8329OMAHA          NE
10020-8350TEMPLE         TX
10020-8480HOUSTON        TX
10020-8486LOMA LINDA     CA
10020-8512BOSTON         MA
10020-8537ATLANTA        GA
10020-8640CINCINNATI     OH
10020-8647GLADE SPRING   VA
10020-8803CHICAGO        IL
10020-8819CLEVELAND      OH
10020-8882LANHAM         MD
10020-8889GLADWYNE       PA
10020-8905WOODHAVEN      NY
10020-8906HARRISBURG     PA
10020-8972KANSAS CITY    MO
10020-8994INDIANAPOLIS   IN
10020-9003CINCINNATI     OH
10020-9005TUCSON         AZ
10020-9048CHATTANOOGA    TN
10020-9066CHICAGO        IL
10020-9074INDIANAPOLIS   IN
10020-9089CLEVELAND      OH
10020-9094PHILADELPHIA   PA
10020-9101CINCINNATI     OH
10020-9104SAN ANTONIO    TX
10020-9167MEMPHIS        TN
10020-9207HOUSTON        TX
10020-9225PHOENIX        AZ
10020-9261JACKSONVILLE   FL
10020-9285PARRY SOUND    ON
10020-9303KANSAS CITY    MO
10020-9330SHREVEPORT     LA
10020-9376LOS ANGELES    CA
10020-9384CHICAGO        IL
10020-9401TRAVERSE CITY  MI
10020-9408BIRDSBORO      PA
10020-9463COLUMBUS       OH
10020-9465GAINESVILLE    FL
10020-9549ROCHESTER      MN
10020-9582FOSTER CITY    CA
10020-9613BOSTON         MA
10020-9678NEW HAVEN      CT
10020-9697PHILADELPHIA   PA
10020-9715PITTSFIELD     MA
10020-9720ROCHESTER      NY
10020-9721WOLCOTT        CT
10020-9723GALVESTON      TX
10020-9727CANFIELD       OH
10020-9740PITTSBURGH     PA
10020-9741FRESH MEADOWS  NY
10020-9780ROCHESTER      NY
10020-9800INDIANAPOLIS   IN
10020-9846PENNSAUKEN     NJ
10020-9997BOWIE          MD
10030-0011BALTIMORE      MD
10030-0091BIRMINGHAM     AL
10030-0098NASHVILLE      TN
10030-0102CHESTERFIELD   MO
10030-0109BROOKLYN       NY
10030-0120COLUMBUS       GA
10030-0121CHICAGO        IL
10030-0147DURHAM         NC
10030-0170VOORHEES       NJ
10030-0197NEW ORLEANS    LA
10030-0198VAN NUYS       CA
10030-0231SEATTLE        WA
10030-0245TUCSON         AZ
10030-0246MANHASSET      NY
10030-0277KANSAS CITY    MO
10030-0298CHAMPAIGN      IL
10030-0333GALVESTON      TX
10030-0358SAN DIEGO      CA
10030-0386LOS ANGELES    CA
10030-0390GREENWOOD      IN
10030-0398LEXINGTON      KY
10030-0401DENVER         CO
10030-0418GAINESVILLE    FL
10030-0484NEW ORLEANS    LA
10030-0538FOREST HILLS   NY
10030-0553BRANDON        FL
10030-0560ABILENE        TX
10030-0609NEW HAVEN      CT
10030-0636LACKLAND AFB   TX
10030-0644LA CROSSE      WI
10030-0649TOPEKA         KS
10030-0650PEORIA         IL
10030-0741METAIRIE       LA
10030-0746PORTLAND       OR
10030-0749ALBUQUERQUE    NM
10030-0777SEATTLE        WA
10030-0810SAN FRANCISCO  CA
10030-0867BOSTON         MA
10030-0889SAN MARINO     CA
10030-0925INDIANAPOLIS   IN
10030-0934SPOKANE        WA
10030-0958WYOMISSING     PA
10030-0963BROOKLYN       NY
